date,open,high
2013-04-28,1.9971,2.0005
2013-04-29,2.0057,2.0102
2013-04-30,2.0016,2.0044
2013-05-01,2.0017,2.0106
2013-05-02,2.0069,2.012
2013-05-05,2.0054,2.0143
2013-05-06,2.0059,2.013
2013-05-07,2.0058,2.0062
2013-05-08,2.0007,2.0043
2013-05-09,2.0093,2.0253
2013-05-12,1.9982,2.02
2013-05-13,2.0066,2.019
2013-05-14,2.0183,2.0294
2013-05-15,2.0196,2.0265
2013-05-16,2.0226,2.0364
2013-05-19,2.0329,2.0378
2013-05-20,2.0357,2.0432
2013-05-21,2.0327,2.0409
2013-05-22,2.0459,2.0528
2013-05-23,2.0411,2.0525
2013-05-26,2.0169,2.0503
2013-05-27,2.0535,2.0667
2013-05-28,2.0737,2.0946
2013-05-29,2.1068,2.1095
2013-05-30,2.1073,2.1408
2013-06-02,2.1392,2.1412
2013-06-03,2.1207,2.1383
2013-06-04,2.1247,2.1466
2013-06-05,2.127,2.14
2013-06-06,2.1273,2.1481
2013-06-09,2.1273,2.158
2013-06-10,2.1273,2.162
2013-06-11,2.1273,2.162
2013-06-12,2.1509,2.1532
2013-06-13,2.1157,2.138
2013-06-16,2.0961,2.1574
2013-06-17,2.1678,2.1815
2013-06-18,2.1776,2.1798
2013-06-19,2.2247,2.2717
2013-06-20,2.2536,2.2702
2013-06-23,2.2554,2.2612
2013-06-24,2.2255,2.2279
2013-06-25,2.21,2.2116
2013-06-26,2.1842,2.1864
2013-06-27,2.1939,2.2229
2013-06-30,2.226,2.2358
2013-07-01,2.2213,2.2439
2013-07-02,2.2473,2.2669
2013-07-03,2.2615,2.269
2013-07-04,2.2459,2.2665
2013-07-07,2.2475,2.2635
2013-07-08,2.2595,2.2617
2013-07-09,2.2539,2.2707
2013-07-10,2.2698,2.271
2013-07-11,2.2488,2.2677
2013-07-14,2.2665,2.2698
2013-07-15,2.2143,2.255
2013-07-16,2.2486,2.2617
2013-07-17,2.2227,2.2382
2013-07-18,2.2214,2.238
2013-07-21,2.2399,2.2451
2013-07-22,2.2298,2.242
2013-07-23,2.2105,2.241
2013-07-24,2.2437,2.2565
2013-07-25,2.2407,2.2521
2013-07-28,2.2493,2.2627
2013-07-29,2.2667,2.2734
2013-07-30,2.2792,2.2974
2013-07-31,2.2738,2.2952
2013-08-01,2.301,2.3096
2013-08-04,2.2473,2.3004
2013-08-05,2.3028,2.3037
2013-08-06,2.2953,2.3044
2013-08-07,2.3042,2.3045
2013-08-08,2.2789,2.284
2013-08-11,2.2473,2.2765
2013-08-12,2.2846,2.305
2013-08-13,2.3101,2.3123
2013-08-14,2.3215,2.3479
2013-08-15,2.3378,2.362
2013-08-18,2.3896,2.4108
2013-08-19,2.4095,2.4106
2013-08-20,2.3941,2.423
2013-08-21,2.4476,2.4516
2013-08-22,2.4324,2.4329
