Date,tr
2012-11-23,0.0303
2012-11-26,0.0472
2012-11-27,0.0158
2012-11-28,0.0242
2012-11-29,0.0347
2012-11-30,0.019
2012-12-03,0.0493
2012-12-04,0.0505
2012-12-05,0.0295
2012-12-06,0.054
2012-12-07,0.0282
2012-12-10,0.0241
2012-12-11,0.0249
2012-12-12,0.022
2012-12-13,0.0248
2012-12-14,0.0178
2012-12-17,0.0265
2012-12-18,0.0276
2012-12-19,0.0356
2012-12-20,0.0443
2012-12-21,0.025
2012-12-24,0.0299
2012-12-25,0.029
2012-12-26,0.0439
2012-12-27,0.0544
2012-12-28,0.0257
2012-12-31,0.0196
2013-01-01,0.0105
2013-01-02,0.0157
2013-01-03,0.0203
2013-01-04,0.0215
2013-01-07,0.034
2013-01-08,0.0312
2013-01-09,0.0213
2013-01-10,0.0315
2013-01-11,0.0323
2013-01-14,0.0231
2013-01-15,0.0185
2013-01-16,
2013-01-17,
2013-01-18,0.0188
2013-01-21,0.0184
2013-01-22,0.0186
2013-01-23,0.0276
2013-01-24,0.0242
2013-01-25,0.0089
2013-01-28,0.0313
2013-01-29,0.0545
2013-01-30,0.0165
2013-01-31,0.0255
2013-02-01,0.02
2013-02-04,0.0224
2013-02-05,0.0255
2013-02-06,0.0265
2013-02-07,0.0299
2013-02-08,0.0476
2013-02-11,0.023
2013-02-12,0.0212
2013-02-13,0.0194
2013-02-14,0.0206
2013-02-15,0.016
2013-02-18,0.0188
2013-02-19,0.0213
2013-02-20,0.024
2013-02-21,0.0228
2013-02-22,0.0126
2013-02-25,0.0139
2013-02-26,0.0139
2013-02-27,0.0164
2013-02-28,0.018
2013-03-01,0.0105
2013-03-04,0.0205
2013-03-05,0.0327
2013-03-06,0.0123
2013-03-07,0.0142
2013-03-08,0.026
2013-03-11,0.0308
2013-03-12,0.0191
2013-03-13,0.0108
2013-03-14,0.0113
2013-03-15,0.0142
2013-03-18,0.0351
2013-03-19,0.0231
2013-03-20,0.0165
2013-03-21,0.0137
2013-03-22,0.0287
2013-03-25,0.0286
2013-03-26,0.0173
2013-03-27,0.0178
2013-03-28,0.0195
2013-03-29,0.009
2013-03-31,0.0042
2013-04-01,0.0203
2013-04-02,0.0205
2013-04-03,0.0186
2013-04-04,0.0363
2013-04-07,0.0429
2013-04-08,0.0162
2013-04-09,0.0251
2013-04-10,0.0249
2013-04-11,0.0193
2013-04-14,0.0282
2013-04-15,0.0341
2013-04-16,0.0325
2013-04-17,0.0354
2013-04-18,0.0358
2013-04-21,0.0335
2013-04-22,0.02
2013-04-23,0.0206
2013-04-24,0.0266
2013-04-25,0.0291
2013-04-28,0.0199
2013-04-29,0.0185
2013-04-30,0.0201
2013-05-01,0.0247
2013-05-02,0.0198
2013-05-05,0.0232
2013-05-06,0.0242
2013-05-07,0.0167
2013-05-08,0.0168
2013-05-09,0.03
2013-05-12,0.0218
2013-05-13,0.0296
2013-05-14,0.0285
2013-05-15,0.0232
2013-05-16,0.0289
2013-05-19,0.0212
2013-05-20,0.0229
2013-05-21,0.0241
2013-05-22,0.023
2013-05-23,0.0278
2013-05-26,0.0334
2013-05-27,0.0298
2013-05-28,0.0411
2013-05-29,0.0357
2013-05-30,0.05
2013-06-02,0.0335
2013-06-03,0.0484
2013-06-04,0.0591
2013-06-05,0.0293
2013-06-06,0.0373
2013-06-09,0.0472
2013-06-10,0.0512
2013-06-11,0.0512
2013-06-12,0.0258
2013-06-13,0.0519
2013-06-16,0.0613
2013-06-17,0.0851
2013-06-18,0.0177
2013-06-19,0.0941
2013-06-20,0.046
2013-06-23,0.0347
2013-06-24,0.0367
2013-06-25,0.0388
2013-06-26,0.0405
2013-06-27,0.0437
2013-06-30,0.0399
2013-07-01,0.0547
2013-07-02,0.0438
2013-07-03,0.0247
2013-07-04,0.0367
2013-07-07,0.0306
2013-07-08,0.0173
2013-07-09,0.0338
2013-07-10,0.0242
2013-07-11,0.0216
2013-07-14,0.0297
2013-07-15,0.0618
2013-07-16,0.0454
2013-07-17,0.0424
2013-07-18,0.0341
2013-07-21,0.0233
2013-07-22,0.031
2013-07-23,0.0416
2013-07-24,0.0465
2013-07-25,0.0174
2013-07-28,0.0285
2013-07-29,0.0227
2013-07-30,0.0374
2013-07-31,0.038
2013-08-01,0.0359
2013-08-04,0.0539
2013-08-05,0.0197
2013-08-06,0.025
2013-08-07,0.0342
2013-08-08,0.0431
2013-08-11,0.0312
2013-08-12,0.0364
2013-08-13,0.0278
2013-08-14,0.0424
2013-08-15,0.0405
2013-08-18,0.073
2013-08-19,0.0295
2013-08-20,0.0462
2013-08-21,0.0577
2013-08-22,0.0842
2013-08-25,0.1154
2013-08-26,0.0677
2013-08-27,0.0618
2013-08-28,0.0417
2013-08-29,0.0389
2013-09-01,0.0945
2013-09-02,0.0402
2013-09-03,0.0363
2013-09-04,0.0564
2013-09-05,0.0765
2013-09-08,0.1727
2013-09-09,0.0455
2013-09-10,0.038
2013-09-11,0.0281
2013-09-12,0.0266
2013-09-15,0.0329
2013-09-16,0.0329
2013-09-17,0.0451
2013-09-18,0.0838
2013-09-19,0.0354
2013-09-22,0.1865
2013-09-23,0.0274
2013-09-24,0.0512
2013-09-25,0.0438
2013-09-26,0.0367
2013-09-29,0.0379
2013-09-30,0.0285
2013-10-01,0.0216
2013-10-02,0.0386
2013-10-03,0.0189
2013-10-06,0.0291
2013-10-07,
2013-10-08,
2013-10-09,0.033
2013-10-10,0.0407
2013-10-13,0.0299
2013-10-14,0.0275
2013-10-15,0.031
2013-10-16,0.0243
2013-10-17,0.0346
2013-10-20,0.0245
2013-10-21,0.04
2013-10-22,0.0152
2013-10-23,0.0357
2013-10-24,0.0257
2013-10-28,0.0356
2013-10-29,0.0243
2013-10-30,0.012
2013-10-31,0.0418
2013-11-01,0.0754
2013-11-04,0.0278
2013-11-05,0.0514
2013-11-06,0.0529
2013-11-07,0.0328
2013-11-08,0.0571
2013-11-11,0.0385
2013-11-12,0.0356
2013-11-13,0.0288
2013-11-14,0.0288
2013-11-15,0.0342
2013-11-18,0.0537
2013-11-19,0.0689
2013-11-20,0.0101
2013-11-21,0.0481
2013-11-22,0.0436
2013-11-25,0.0401
2013-11-26,0.0292
2013-11-27,0.0302
2013-11-28,0.0435
2013-11-29,0.0363
2013-12-02,0.0382
2013-12-03,0.0283
2013-12-04,0.0297
2013-12-05,0.0352
2013-12-06,0.0597
2013-12-09,0.0581
2013-12-10,0.0305
2013-12-11,0.0464
2013-12-12,0.041
2013-12-13,0.022
2013-12-16,0.0277
2013-12-17,0.0126
2013-12-18,0.034
2013-12-19,0.0427
2013-12-20,0.0567
2013-12-23,0.0322
2013-12-24,0.0439
2013-12-25,0.0017
2013-12-26,0.0045
2013-12-27,0.0214
2013-12-30,0.0526
2013-12-31,0.0263
2014-01-01,0.0119
2014-01-02,0.0605
2014-01-03,0.028
2014-01-06,0.0243
2014-01-07,0.0293
2014-01-08,0.0304
2014-01-09,0.0308
2014-01-10,0.0347
2014-01-13,0.0523
2014-01-14,0.0267
2014-01-15,0.0337
2014-01-16,0.0334
2014-01-17,0.0205
2014-01-20,0.0421
2014-01-21,0.027
2014-01-22,0.0296
2014-01-23,0.0303
2014-01-24,0.0601
2014-01-27,0.0318
2014-01-28,0.0323
2014-01-29,0.0284
2014-01-30,0.0334
2014-01-31,0.0476
2014-02-03,0.0262
2014-02-04,0.0313
2014-02-05,0.0508
2014-02-06,0.0343
2014-02-07,0.0305
2014-02-10,0.0244
2014-02-11,0.0385
2014-02-12,0.023
2014-02-13,0.0284
2014-02-14,0.0482
2014-02-17,0.0218
2014-02-18,0.0299
2014-02-19,0.0275
2014-02-20,0.0309
2014-02-21,0.0405
2014-02-24,0.0446
2014-02-25,0.0216
2014-02-26,0.0287
2014-02-27,0.0179
2014-02-28,0.0344
