"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 10, 2017","3,164.17","3,202.50","3,206.00","3,156.00","640.70K","-1.38"
"Mar 09, 2017","3,208.36","3,195.00","3,219.50","3,180.50","626.90K","0.88"
"Mar 08, 2017","3,180.29","3,152.00","3,202.50","3,146.50","595.32K","1.32"
"Mar 07, 2017","3,138.90","3,151.50","3,154.00","3,134.00","398.19K","-0.19"
"Mar 06, 2017","3,144.79","3,146.00","3,164.00","3,123.50","419.47K","0.09"
"Mar 03, 2017","3,142.03","3,179.50","3,186.50","3,135.50","582.96K","-0.79"
"Mar 02, 2017","3,167.13","3,124.50","3,183.50","3,122.00","580.62K","1.46"
"Mar 01, 2017","3,121.42","3,146.00","3,149.00","3,114.50","216.17K","0.71"
"Feb 24, 2017","3,099.30","3,076.00","3,101.00","3,071.50","82.33K","1.26"
"Feb 23, 2017","3,060.82","3,069.00","3,080.50","3,054.00","481.54K","-0.65"
"Feb 22, 2017","3,080.94","3,099.00","3,099.00","3,060.00","440.94K","-0.54"
"Feb 21, 2017","3,097.68","3,101.00","3,111.50","3,090.50","462.07K","0.14"
"Feb 20, 2017","3,093.35","3,105.50","3,111.50","3,088.00","234.63K","-0.18"
"Feb 17, 2017","3,098.97","3,103.00","3,113.50","3,085.00","474.32K","0.47"
"Feb 16, 2017","3,084.52","3,062.00","3,097.00","3,047.00","524.09K","0.50"
"Feb 15, 2017","3,069.28","3,097.00","3,103.50","3,061.00","541.52K","-1.27"
"Feb 14, 2017","3,108.90","3,129.00","3,138.00","3,091.50","609.96K","-0.49"
"Feb 13, 2017","3,124.17","3,123.00","3,135.00","3,119.00","289.38K","0.02"
"Feb 10, 2017","3,123.67","3,139.00","3,140.50","3,119.00","387.80K","-0.53"
"Feb 09, 2017","3,140.33","3,136.00","3,147.50","3,127.50","358.35K","0.34"
"Feb 08, 2017","3,129.68","3,136.00","3,145.00","3,128.00","346.48K","-0.32"
"Feb 07, 2017","3,139.58","3,146.00","3,153.50","3,134.00","361.18K","-0.01"
"Feb 06, 2017","3,139.90","3,137.00","3,145.00","3,125.00","339.35K","0.26"
"Feb 03, 2017","3,131.89","3,149.00","3,158.00","3,124.00","456.95K","-0.27"
"Feb 02, 2017","3,140.22","3,135.00","3,150.00","3,128.00","440.49K","-1.05"
"Feb 01, 2017","3,173.45","3,167.50","3,184.00","3,146.50","470.04K","1.49"
"Jan 31, 2017","3,127.00","3,127.50","3,132.00","3,105.50","50.65K","0.32"
"Jan 30, 2017","3,117.13","3,142.00","3,154.00","3,113.50","378.04K","-1.16"
