Date,kdjk_9
2012-01-04,55.361130274
2012-01-05,39.385213544
2012-01-06,40.235303653
2012-01-09,42.9525680267
2012-01-10,46.4462041494
2012-01-11,34.2762380105
2012-01-12,31.6383670533
2012-01-13,25.9366463705
2012-01-16,26.6438847109
2012-01-17,23.2506192732
2012-01-18,21.0621071398
2012-01-19,18.0684775179
2012-01-20,11.6374884133
2012-01-23,15.248962313
2012-01-24,13.5509433205
2012-01-25,18.0185448825
2012-01-26,30.1025174661
2012-01-27,93.0220816322
2012-01-30,67.0562394749
2012-01-31,59.1744438876
2012-02-01,52.6279238321
2012-02-02,42.7505427516
2012-02-03,30.774565863
2012-02-06,23.3677010709
2012-02-07,24.5146375934
2012-02-08,27.1389940142
2012-02-09,26.5152179938
2012-02-10,24.3285309794
2012-02-13,25.3371073495
2012-02-14,25.224738233
2012-02-15,26.0219185119
2012-02-16,41.6847392156
2012-02-17,39.0481042894
2012-02-20,30.4470805638
2012-02-21,33.4327115458
2012-02-22,32.4429997502
2012-02-23,31.50520971
2012-02-24,36.8213743746
2012-02-27,35.5815335337
2012-02-28,34.2148495163
2012-02-29,32.2116090792
2012-03-01,47.0299616084
2012-03-02,53.3565918112
2012-03-05,61.4834699666
2012-03-06,64.4832328513
2012-03-07,71.6958207146
2012-03-08,76.8674085911
2012-03-09,78.1860730441
2012-03-12,78.2198692873
2012-03-13,78.7896682369
2012-03-14,76.9512242523
2012-03-15,79.0837048527
2012-03-16,79.2787409843
2012-03-19,78.8261217111
2012-03-20,81.7279098561
2012-03-21,80.3151959295
2012-03-22,80.4142122523
2012-03-23,78.5927747681
2012-03-25,71.5000595982
2012-03-26,71.98200366
2012-03-27,75.0421106564
2012-03-28,75.0474987904
2012-03-29,73.0308888595
2012-04-01,75.4937860462
2012-04-02,82.6524230207
2012-04-03,80.0851787922
2012-04-04,77.2559969068
2012-04-05,68.2579246395
2012-04-08,61.3866094455
2012-04-09,56.9485937498
2012-04-10,64.1939982519
2012-04-11,70.6115695073
2012-04-12,68.5407439951
2012-04-15,71.1273553416
2012-04-16,77.5440230579
2012-04-17,79.5965678581
2012-04-18,82.493476178
2012-04-19,85.0877318166
2012-04-22,82.5780111001
2012-04-23,84.1929856163
2012-04-24,85.0641276899
2012-04-25,84.8503549458
2012-04-26,86.4729287256
2012-04-29,86.0818880092
